"artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isGameChanger","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","number","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","setCode","side","signature","sourceProducts","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark"
"Matt Stewart","20871267-2d8a-41d5-b03a-be3d557c5734","","","arena, mtgo, paper","default","black","","W","","W",NA,"",23521,NA,NA,"",NA,"","nonfoil, foil","","""Kin and clan call to me—and I will always answer.""","legendary","2015",NA,"","","True","True","","","","","","","","","","","","","","","First strike, Flash","English","normal","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{2}{W}",3,"Anafenza, Unyielding Lineage","2","","","","","","2","TDM","","rare","","","oval","TDM","","","","","Spirit, Soldier","Legendary","Flash\nFirst strike\nWhenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)","2","Legendary Creature — Spirit Soldier","Creature","760e6b1a-c1c9-5f1a-be46-a1fb6b85245b","82df3262-c519-5a46-a8e4-fb3ad5cc03ed","abzan"
"Inkognit","0ebd73e7-55c9-49d6-bf99-241f10801f89","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28833,NA,NA,"",NA,"","nonfoil, foil","","""The best way to protect the citizens is to defend Arashin, not hunt dragonstorms across Tarkir."" —Sadesh of House Mevak","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{3}{W}",4,"Arashin Sunshield","3","","","","","","3","TDM","","common","","","","TDM","","","","","Human, Warrior","","When this creature enters, exile up to two target cards from a single graveyard.\n{W}, {T}: Tap target creature.","4","Creature — Human Warrior","Creature","926b2054-5a1e-54e3-8fb9-feea8c6cde33","",""
"Joshua Cairos","2b8abf3a-262e-492d-8ee5-5f33e09cc679","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28800,NA,NA,"",NA,"","nonfoil, foil","","Morale stands so long as he does.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Bearer of Glory","4","","","","","","2","TDM","","common","","","","TDM","","","","","Human, Soldier","","During your turn, this creature has first strike.\n{4}{W}: Creatures you control get +1/+1 until end of turn.","1","Creature — Human Soldier","Creature","46992657-f172-5163-a420-6dbd1bf403df","",""
"Nathaniel Himawan","ae1e4729-d4ec-4d0f-8c71-883fc7358005","","","arena, mtgo, paper","default","black","","W","","W",NA,"",22716,NA,NA,"",NA,"","nonfoil, foil","","All challengers were summarily silenced.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flying","English","normal","",NA,"","{2}{W}",3,"Clarion Conqueror","5","","","","","","3","TDM","","rare","","","oval","TDM","","","","","Dragon","","Flying\nActivated abilities of artifacts, creatures, and planeswalkers can't be activated.","3","Creature — Dragon","Creature","9de42322-cb51-5a85-a711-766c4039ccdf","a571b4ec-fc18-5297-95c3-6b0f990cc6f4, cbf169a5-761c-5873-9249-37c13eeaab21",""
"Wisnu Tan","f2d36cdd-a4e9-43ba-b2ad-9d514f6706d4","","","arena, mtgo, paper","default","black","","W","","W",NA,"",27092,NA,NA,"",NA,"","nonfoil, foil","","""We follow the dragonstorms, and we take down any threats that emerge from them!""\n—Zurgo, khan of the Mardu","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Coordinated Maneuver","6","","","","","","","TDM","","common","","","","TDM","","","","","","","Choose one —\n• Coordinated Maneuver deals damage equal to the number of creatures you control to target creature or planeswalker.\n• Destroy target enchantment.","","Instant","Instant","a56be8e0-36c9-5c52-857c-3183073126b9","",""
"Constantin Marin","6cb0dc0c-4362-4c21-b23a-b2d7e096aa4f","","","arena, mtgo, paper","default","black","","W","","W",NA,"",21383,NA,NA,"",NA,"","nonfoil, foil","","A burden shared is a burden lightened.\n—Mardu proverb","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Vigilance","English","normal","",NA,"","{2}{W}",3,"Dalkovan Packbeasts","7","","","","","","0","TDM","","uncommon","","","","TDM","","","","","Ox","","Vigilance\nMobilize 3 (Whenever this creature attacks, create three tapped and attacking 1/1 red Warrior creature tokens. Sacrifice them at the beginning of the next end step.)","4","Creature — Ox","Creature","da9218fe-9065-5bb1-8440-c33f863be247","","mardu"
"Lie Setiawan","6f771d3f-310e-4aa4-841f-5ba4ba9f025a","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28476,NA,NA,"",NA,"","nonfoil, foil","","The most elite of the Abzan are selected to join the Yathan: a prestigious group acting outside khan supervision for the good of the clan.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{W}",1,"Descendant of Storms","8","","","","","","2","TDM","","uncommon","","","","TDM","","","","","Human, Soldier","","Whenever this creature attacks, you may pay {1}{W}. If you do, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)","1","Creature — Human Soldier","Creature","e89ec9d4-6752-5288-b513-b31a32bb5c71","","abzan"
"Diego Gisbert","3f4e975d-092c-40e4-b850-2d582bf4b5cb","","","arena, mtgo, paper","default","black","","W","","W",NA,"",26137,NA,NA,"",NA,"","nonfoil, foil","","The Mardu's standing army need not always stand on the ground.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flying","English","normal","",NA,"","{3}{W}",4,"Dragonback Lancer","9","","","","","","3","TDM","","common","","","","TDM","","","","","Human, Soldier","","Flying\nMobilize 1 (Whenever this creature attacks, create a tapped and attacking 1/1 red Warrior creature token. Sacrifice it at the beginning of the next end step.)","3","Creature — Human Soldier","Creature","0d0c0f15-2645-50a6-94a0-3c345b34988b","","mardu"
"Kev Fang","6ff8fc0f-be8f-4c3d-9b3c-851ccaa436a4","","","arena, mtgo, paper","default","black","","W","","W",NA,"",20972,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Duty Beyond Death","10","","","","","","","TDM","","uncommon","","","","TDM","","","","","","","As an additional cost to cast this spell, sacrifice a creature.\nCreatures you control gain indestructible until end of turn. Put a +1/+1 counter on each creature you control. (Damage and effects that say ""destroy"" don't destroy those creatures.)","","Instant","Instant","62538893-cd6a-53a7-b0a8-c5ad1d6ef70a","",""
"Ekaterina Burmak","2a9f3780-fcc8-4ec5-b403-ee1d1370d3b4","","","arena, mtgo, paper","default","black","","W","","W",NA,"",13750,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","{""brawl"": false, ""commander"": false, ""oathbreaker"": true}",NA,"5","{3}{W}{W}",5,"Elspeth, Storm Slayer","11","","","","","","","TDM","","mythic","","","oval","TDM","","","","","Elspeth","Legendary","If one or more tokens would be created under your control, twice that many of those tokens are created instead.\n[+1]: Create a 1/1 white Soldier creature token.\n[0]: Put a +1/+1 counter on each creature you control. Those creatures gain flying until your next turn.\n[−3]: Destroy target creature an opponent controls with mana value 3 or greater.","","Legendary Planeswalker — Elspeth","Planeswalker","49fc65ab-f09a-5a9a-b550-f8fde7ac1b5e","ef7955f4-0aca-53a4-9b00-ffb5ddbae260, f305af5b-7c2a-52f4-8a6f-b296a1664f5a, 15693f55-81b8-500b-9fd2-90d7893015ef",""
"Daneen Wilkerson","87ae863f-7c7c-4ede-bcf5-d4e4aa36463c","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28181,NA,NA,"",NA,"","nonfoil, foil","","All through the night, the ancestor whispered of ancient battles fought from this very rampart atop Arashin City.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Fortress Kin-Guard","12","","","","","","1","TDM","","common","","","","TDM","","","","","Dog, Soldier","","When this creature enters, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)","2","Creature — Dog Soldier","Creature","dd0cb2f7-d303-54e5-b78b-95f9ad6bd31b","","abzan"
"Izzy","2c3d2473-ff5d-4309-8194-e0b2def2ab65","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28795,NA,NA,"",NA,"","nonfoil, foil","","""Your hatred dampens the land with my kin's blood. My love will flood it with yours.""\n—Hazena, spirit of House Emesh","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Furious Forebear","13","","","","","","3","TDM","","uncommon","","","","TDM","","","","","Spirit, Warrior","","Whenever a creature you control dies while this card is in your graveyard, you may pay {1}{W}. If you do, return this card from your graveyard to your hand.","1","Creature — Spirit Warrior","Creature","9898d496-cd30-5655-a951-b0f8788978e3","",""
"Craig J Spearing","b0f15e74-0dd6-4156-959e-c5e30c5cdc52","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28081,NA,NA,"",NA,"","nonfoil, foil","","Jeskai monks spreading the Way in Abzan territories develop swift reflexes or find their travels abruptly cut short.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Lightfoot Technique","14","","","","","","","TDM","","common","","","","TDM","","","","","","","Put a +1/+1 counter on target creature. It gains flying and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","","Instant","Instant","b569148b-9f90-5529-aaf4-b75719e8a227","",""
"Yeong-Hao Han","f8e7f8d6-6dde-4059-973c-30f1fd1bbe4e","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28766,NA,NA,"",NA,"","nonfoil, foil","","""I grant you the strength of Qatros's walls and the tenacity of Arashin's oasis.""","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{4}{W}",5,"Loxodon Battle Priest","15","","","","","","3","TDM","","uncommon","","","","TDM","","","","","Elephant, Cleric","","At the beginning of combat on your turn, put a +1/+1 counter on another target creature you control.","5","Creature — Elephant Cleric","Creature","67332abb-86e6-5b9e-8004-029166f90930","",""
"Lorenzo Mastroianni","70213e7d-47e0-4543-a1ae-451009053e2d","","","arena, mtgo, paper","default","black","","B, R, W","","W",NA,"",27098,NA,NA,"",NA,"","nonfoil, foil","","Eskeg and his companion stood watch, the sights of the steppe a constant inspiration.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Scry","English","normal","",NA,"","{W}",1,"Mardu Devotee","16","","","","","","1","TDM","","common","","","","TDM","","","","","Human, Scout","","When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)\n{1}: Add {R}, {W}, or {B}. Activate only once each turn.","2","Creature — Human Scout","Creature","2925f044-bca0-5bb2-a342-b3a70d7ff41c","","mardu"
"Camille Alquier","a0670296-0225-4630-95c6-feab68d14df4","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28575,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Osseous Exhale","17","","","","","","","TDM","","common","","","","TDM","","","","","","","As an additional cost to cast this spell, you may behold a Dragon. (You may choose a Dragon you control or reveal a Dragon card from your hand.)\nOsseous Exhale deals 5 damage to target attacking or blocking creature. If a Dragon was beheld, you gain 2 life.","","Instant","Instant","2aeff58b-6d33-5faf-8941-c778c073e8df","",""
"Alessandra Pisano","15869690-bf3c-4498-a577-409a6bde5c83","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28755,NA,NA,"",NA,"","nonfoil, foil","","""Excellent form, Jun! Just keep your weight on that back foot, and you'll master this in no time.""\n—Narset","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Scry","English","normal","",NA,"","{2}{W}",3,"Poised Practitioner","18","","","","","","2","TDM","","common","","","","TDM","","","","","Human, Monk","","Flurry — Whenever you cast your second spell each turn, put a +1/+1 counter on this creature. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)","3","Creature — Human Monk","Creature","3768817d-2372-5cb6-8a90-b29ed03701ce","","jeskai"
"David Astruga","4fa5b0e2-1324-4407-98b8-3282395a03e3","","","arena, mtgo, paper","default","black","","W","","W",NA,"",24741,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","True","","","","English","normal","",NA,"","{3}{W}",4,"Rally the Monastery","19","","","","","","","TDM","","uncommon","","","","TDM","","","","","","","This spell costs {2} less to cast if you've cast another spell this turn.\nChoose one —\n• Create two 1/1 white Monk creature tokens with prowess.\n• Up to two target creatures you control each get +2/+2 until end of turn.\n• Destroy target creature with power 4 or greater.","","Instant","Instant","e12cf1d0-7e91-50da-b53f-6c135c2d51b8","",""
"Evyn Fong","6777be9f-5724-4fdb-b6a0-a83f63efa4ca","","","arena, mtgo, paper","default","black","","W","","W",NA,"",25975,NA,NA,"",NA,"","nonfoil, foil","","""Even if you battle unseen, even if there is no one to witness your sacrifice—strike! Strike true. Strike from the heart. Let that be your legacy.""\n—Shiko","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{1}{W}",2,"Rebellious Strike","20","","","","","","","TDM","","common","","","","TDM","","","","","","","Target creature gets +3/+0 until end of turn.\nDraw a card.","","Instant","Instant","8fe74dbd-e5a3-563c-a2f0-a88a6e1139c2","",""
"Tuan Duong Chu","d84246f9-a536-485f-a21d-a237302ed100","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28450,NA,5,"",5,"Riling Dawnbreaker","nonfoil, foil","","","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flying, Vigilance","English","adventure","",NA,"","{4}{W}",5,"Riling Dawnbreaker // Signaling Roar","21","","","","","afa9211a-6738-5f6a-89ad-b1788cea68f6","3","TDM","","common","","","","TDM","a","","","","Dragon","","Flying, vigilance\nAt the beginning of combat on your turn, another target creature you control gets +1/+0 until end of turn.","4","Creature — Dragon","Creature","2e3b9f6b-f1de-5d43-ae9a-8d87f9c88b9b","d712f631-b0d7-50e6-a566-06d67b7d36f4",""
"Justyna Dura","d2340aef-8ca9-4e0d-864c-6a4e8d5e350a","","","arena, mtgo, paper","default","black","","W","","W",NA,"",27069,NA,NA,"",NA,"","nonfoil, foil","","""Gravity is just a suggestion.""","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flying, Lifelink","English","normal","",NA,"","{2}{W}",3,"Sage of the Skies","22","","","","","","2","TDM","","rare","","","oval","TDM","","","","","Human, Monk","","When you cast this spell, if you've cast another spell this turn, copy this spell. (The copy becomes a token.)\nFlying, lifelink","3","Creature — Human Monk","Creature","ac332121-208e-56a7-a086-f7110a62a53e","3b07fdcb-7c5d-554f-bfa5-4b76b5e856b8",""
"Ben Wootten","31cdca96-ecde-4245-bfb6-653929d57d9c","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28255,NA,NA,"",NA,"","nonfoil, foil","","""She huffs like she's Queen Hellkite of the Scour, but we've been together for many journeys and she's never let me down.""\n—Mandakh, Mardu scout","","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{5}{W}",6,"Salt Road Packbeast","23","","","","","","4","TDM","","common","","","","TDM","","","","","Beast","","This spell costs {1} less to cast for each creature you control.\nWhen this creature enters, draw a card.","3","Creature — Beast","Creature","ba163ee9-1825-51ab-9cd1-dda5d9788e4e","",""
"Olivier Bernard","11c6f325-68c2-4f2a-972d-98d2ffe6c224","","","arena, mtgo, paper","default","black","","W","","W",NA,"",17836,NA,NA,"",NA,"","nonfoil, foil","","""Khan Alesha ensured our survival. Now we will forge our future.""\n—Zurgo, khan of the Mardu","enchantment","2015",NA,"","","True","True","","","","","","","","","","","","","","","","English","normal","",NA,"","{3}{W}{W}",5,"Smile at Death","24","","","","","","","TDM","","mythic","","","oval","TDM","","","","","","","At the beginning of your upkeep, return up to two target creature cards with power 2 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of those creatures.","","Enchantment","Enchantment","4ad174ae-4315-5257-80de-fd571027a770","8f2d3e58-dca9-5d45-9e91-792687b20751","mardu"
"Lindsey Look","95bc132d-37aa-4063-8ed8-04d489e826cd","","","arena, mtgo, paper","default","black","","W","","W",NA,"",26200,NA,NA,"",NA,"","nonfoil, foil","","Too late, the elders realized the young prodigies shared a love of adventure and mischief.","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flying","English","normal","",NA,"","{2}{W}",3,"Starry-Eyed Skyrider","25","","","","","","1","TDM","","uncommon","","","","TDM","","","","","Human, Scout","","Flying\nWhenever this creature attacks, another target creature you control gains flying until end of turn.\nAttacking tokens you control have flying.","3","Creature — Human Scout","Creature","b886d284-6601-5f4e-9e97-866135215388","",""
"Yohann Schepacz","c40c8ec8-d8b3-48a5-8de2-a7c96cbded5b","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28023,NA,NA,"",NA,"","nonfoil, foil","","","enchantment","2015",NA,"","","True","True","","","","","","","","","","","","","","","Flash","English","normal","",NA,"","{4}{W}",5,"Static Snare","26","","","","","","","TDM","","uncommon","","","","TDM","","","","","","","Flash\nThis spell costs {1} less to cast for each attacking creature.\nWhen this enchantment enters, exile target artifact or creature an opponent controls until this enchantment leaves the battlefield.","","Enchantment","Enchantment","1136f4f6-05df-5a33-a630-0804a1d6f095","ada1c311-94fa-5e5d-9d6a-b166996b7a56",""
"Jorge Jacinto","05a3ac12-b25d-48e2-af5e-8a299fd3da14","","","arena, mtgo, paper","default","black","","W","","W",NA,"",28504,NA,NA,"",NA,"","nonfoil, foil","","""Sky and Ember, guide my blade!""","","2015",NA,"","","True","True","","","","","","","","","","","","","","","Equip","English","normal","",NA,"","{1}{W}",2,"Stormbeacon Blade","27","","","","","","","TDM","","uncommon","","","","TDM","","","","","Equipment","","Equipped creature gets +3/+0.\nWhenever equipped creature attacks, draw a card if you control three or more attacking creatures.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)","","Artifact — Equipment","Artifact","3375afd5-0239-57c6-a685-14608fd96d60","",""
