"artist","artistIds","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","number","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","setCode","side","signature","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep"
"Yuriy Chemezov","0e2c4292-9cb6-4973-9b1f-9ff4b6ec166e","","","arena, mtgo, paper","default","black","","","","",NA,"",12832,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}",1,"Wizard's Rockets","252","","","Wizard's Rockets enters the battlefield tapped.\n{X}, {T}, Sacrifice Wizard's Rockets: Add X mana in any combination of colors.\nWhen Wizard's Rockets is put into a graveyard from the battlefield, draw a card.","Artifact","","","LTR, PLTR","","common","","","triangle","LTR","","","","","","Wizard's Rockets enters the battlefield tapped.\n{X}, {T}, Sacrifice Wizard's Rockets: Add X mana in any combination of colors.\nWhen Wizard's Rockets is put into a graveyard from the battlefield, draw a card.","","Artifact","Artifact","d796f25b-eeda-534a-9c93-e2c8ed509968","885282dc-8db3-5aa4-ab1e-ed202be83445","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"John Avon","798f3932-30e0-4420-aa3f-db4d613f89ca","","","mtgo, paper","default","black","","U","","U",NA,"",5429,0.01,NA,"",NA,"","nonfoil, foil","","It was built by the Witch of Lochmere. Most of the wishes it grants are its own.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Scry","English","normal","",NA,"","{U}",1,"Witching Well","135","","","When Witching Well enters the battlefield, scry 2.\n{3}{U}, Sacrifice Witching Well: Draw two cards.","Artifact","","","CMM, ELD","","common","","","","CMM","","","","","","When Witching Well enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)\n{3}{U}, Sacrifice Witching Well: Draw two cards.","","Artifact","Artifact","ccc85884-8138-543e-a5dd-c7a1cf890aea","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Brian Despain","b4733d20-d538-4dd6-81fe-408c958ca54b","","","mtgo, paper","default","black","","U","","U",NA,"",19354,0.14,NA,"",NA,"","nonfoil, foil","","""To probe the wonders of the multiverse, to gaze upon worlds unspoiled by blade or spell . . . it's enough to make one weep for the possibilities denied.""","","2003",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Wistful Thinking","53","","","Target player draws two cards, then discards four cards.","Sorcery","","","PLC","","common","","","","PLC","","","","","","Target player draws two cards, then discards four cards.","","Sorcery","Sorcery","9fd159cd-0731-51da-8d37-6f83ac319175","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"DiTerlizzi","ed44dce4-30cf-4c2c-b2e1-a19ba2295690","","","mtgo, paper","","black","","G","","G",NA,"a",11223,0.21,NA,"",NA,"","nonfoil","","""She is truly Wirewood's child now.""\n—Elvish refugee","","2003",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{2}{G}",3,"Wirewood Savage","6","","","Whenever a Beast enters the battlefield, you may draw a card.","Creature — Elf","","2","DDD, GVL, ONS","","common","","","","DDD","","","","Elf","","Whenever a Beast enters the battlefield, you may draw a card.","2","Creature — Elf","Creature","80118aad-7e88-5a68-80eb-47afffe3f315","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Chris Seaman","b9c49463-6f55-4039-9d32-c02a658af100","","","arena","","black","","U","","U",NA,"",2578,0.07,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","{2}{U}",3,"Winged Words","43","","","This spell costs {1} less to cast if you control a creature with flying.\nDraw two cards.","Sorcery","","","ANB, JMP, M20, SCD","","common","","","","ANB","","","","","","This spell costs {1} less to cast if you control a creature with flying.\nDraw two cards.","","Sorcery","Sorcery","1ee639cb-e8f4-5fc7-ba3e-a1f0941a1e95","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Slawomir Maniak","d887bc66-2779-416c-a1ff-d8720242063e","","","mtgo, paper","default","black","","U","","U",NA,"",7257,0.1,NA,"",NA,"","nonfoil, foil","","""It's an ideal method for exploring sky ruins. The drakes sniff me briefly but then lose interest.""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Flying","English","normal","",NA,"","{2}{U}",3,"Windrider Wizard","134","","","Flying\nWhenever you cast an instant, sorcery, or Wizard spell, you may draw a card. If you do, discard a card.","Creature — Human Wizard","","2","CMM, ZNR","","common","","","","CMM","","","","Human, Wizard","","Flying\nWhenever you cast an instant, sorcery, or Wizard spell, you may draw a card. If you do, discard a card.","2","Creature — Human Wizard","Creature","c93a4eaf-c2c8-5535-9591-53b099390bae","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Uriah Voth","14cf4c0c-1a83-4366-ba61-6d0a26ee5a69","","","mtgo, paper","default","black","","U","","U",NA,"",11696,NA,NA,"",NA,"","nonfoil, foil","","Every cry lifts her allies toward the thunder.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Cycling, Flying","English","normal","",NA,"","{4}{U}{U}",6,"Windcaller Aven","133","","","Flying\nCycling {U} ({U}, Discard this card: Draw a card.)\nWhen you cycle Windcaller Aven, target creature gains flying until end of turn.","Creature — Bird Wizard","","4","CMM, J21, MB1, MH1","","common","","","","CMM","","","","Bird, Wizard","","Flying\nCycling {U} ({U}, Discard this card: Draw a card.)\nWhen you cycle Windcaller Aven, target creature gains flying until end of turn.","3","Creature — Bird Wizard","Creature","01f35f71-d5fa-5275-bc33-b7925b764106","","",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
"Volkan Baǵa","93bec3c0-0260-4d31-8064-5d01efb4153f","","","arena, mtgo, paper","default","black","","G","","G",NA,"",4273,0.17,NA,"",NA,"","nonfoil, foil","","Nothing returns from the nightmare nests of Indatha unscathed.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cycling","English","normal","",NA,"","{1}{G}",2,"Wilt","176","","","Destroy target artifact or enchantment.\nCycling {2} ({2}, Discard this card: Draw a card.)","Instant","","","IKO","","common","","","","IKO","","","","","","Destroy target artifact or enchantment.\nCycling {2} ({2}, Discard this card: Draw a card.)","","Instant","Instant","1bc81524-6b20-5ca9-8494-09b368315759","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Jim Murray","1c906f9b-5bbe-4643-8f5c-90eb1c7f0c43","","","mtgo, paper","default","black","","G","","G",NA,"",11042,NA,NA,"",NA,"","nonfoil, foil","","Two times the size, four times the smell.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}{G}",3,"Wildsize","264","","","Target creature gets +2/+2 and gains trample until end of turn.\nDraw a card.","Instant","","","CMR, DD1, EVG, GPT, IMA, JMP, MB1","","common","","","","CMR","","","","","","Target creature gets +2/+2 and gains trample until end of turn.\nDraw a card.","","Instant","Instant","88e3b8fc-b697-541a-8741-d6afa74c21e8","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Randy Vargas","d20672ca-0555-4238-a984-fd171d36b247","","","mtgo, paper","default","black","","G","","G",NA,"",20787,NA,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Cycling","English","normal","",NA,"","{G}",1,"Wild Dogs","183","","","At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Wild Dogs.\nCycling {2} ({2}, Discard this card: Draw a card.)","Creature — Dog","","2","DMR, USG, WC99","","common","","","","DMR","","","","Dog","","At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Wild Dogs.\nCycling {2} ({2}, Discard this card: Draw a card.)","1","Creature — Dog","Creature","155ff3af-2187-5001-adaf-cef1ee83d8be","8506584d-e422-588e-8992-d5af6b47c8a7","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Quinton Hoover","1a2db619-92a5-431a-822b-101cdcc5bd5d","","","mtgo","default","black","","U","","U",NA,"",9597,0.38,NA,"",NA,"","nonfoil, foil","","""I followed her song only to find it was a dirge.""\n—Crovax","","2015",NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Buyback","English","normal","",NA,"","{U}",1,"Whispers of the Muse","79","","","Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)\nDraw a card.","Instant","","","TMP, TPR, TSB, WC98","","common","","","","TPR","","","","","","Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)\nDraw a card.","","Instant","Instant","bf3d0909-13d1-5af6-90df-fdcdc727d71d","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ray Lago","a72b1f7b-b72a-4e8b-bc97-d6720c0e5837","","","mtgo, paper","default","black","","U","","U",NA,"",8188,0.24,NA,"",NA,"","nonfoil, foil","","Where the wind meets the water, change is inevitable.","","1997",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Whirlpool Rider","35","","","When Whirlpool Rider comes into play, shuffle the cards from your hand into your library, then draw that many cards.","Creature - Merfolk","","1","APC","","common","","","","APC","","","","Merfolk","","When Whirlpool Rider enters the battlefield, shuffle the cards from your hand into your library, then draw that many cards.","1","Creature — Merfolk","Creature","1ca74389-9e30-5f63-9108-b5dc3cfe23c6","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Jung Park","269392ac-4c06-4650-98e2-d49a5a7f2371","","","arena","","black","","G","","G",NA,"",6414,NA,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Enchant, Investigate","English","normal","",NA,"","{2}{G}",3,"Weirding Wood","226","","","Enchant land\nWhen Weirding Wood enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nEnchanted land has ""{T}: Add two mana of any one color.""","Enchantment — Aura","","","MOC, SIR, SOI","","common","","","","SIR","","","","Aura","","Enchant land\nWhen Weirding Wood enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nEnchanted land has ""{T}: Add two mana of any one color.""","","Enchantment — Aura","Enchantment","a75782ce-f02c-5876-9505-a333aa974bb8","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Justyna Dura","d2340aef-8ca9-4e0d-864c-6a4e8d5e350a","","","mtgo, paper","default","black","","","","",NA,"",7041,NA,NA,"",NA,"","nonfoil, foil","","RSVP at your own risk.","inverted","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{2}",2,"Wedding Invitation","527","","","","","","","DBL, VOW","","common","","","","DBL","","","","","","When Wedding Invitation enters the battlefield, draw a card.\n{T}, Sacrifice Wedding Invitation: Target creature can't be blocked this turn. If it's a Vampire, it also gains lifelink until end of turn.","","Artifact","Artifact","da2f4a56-fa28-59dc-bcfd-d06de69ef47b","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"Zack Stella","17bc7f55-958b-43f4-bb40-09746d05b3f9","","","mtgo, paper","default","black","","U","","U",NA,"",17923,NA,NA,"",NA,"","nonfoil, foil","","Temur shamans speak of three destinies: the now, the echo of the past, and the unwritten. They find flickering paths among tangled possibilities.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{3}{U}",4,"Weave Fate","61","","","Draw two cards.","Instant","","","KTK, ORI","","common","","","","KTK","","","","","","Draw two cards.","","Instant","Instant","9d175471-3de8-59e5-95de-72bf8237488d","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"Scott M. Fischer","23b0cf43-3e43-44c6-8329-96446eca5bce","","","mtgo, paper","default","black","","U","","U",NA,"",20801,0.07,NA,"",NA,"","nonfoil, foil","","Not choosing sides in a war can be dangerous—but lucrative.","","1997",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{1}{U}",2,"Vodalian Merchant","85","","","When Vodalian Merchant comes into play, draw a card, then discard a card from your hand.","Creature - Merfolk","","1","INV, WC01","","common","","","","INV","","","","Merfolk","","When Vodalian Merchant enters the battlefield, draw a card, then discard a card.","2","Creature — Merfolk","Creature","5ff22f54-5ad4-5855-900f-025f553d285e","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"Josu Hernaiz","74246024-92b4-43d0-a5af-a3f9f2a35d5f","","","mtgo, paper","default","black","","U","","U",NA,"",2318,0.17,NA,"",NA,"","nonfoil, foil","","""Time is like the Luxa River—though it flows in one direction, it can be diverted.""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Cycling","English","normal","",NA,"","{2}{U}",3,"Vizier of Tumbling Sands","131","","","{T}: Untap another target permanent.\nCycling {1}{U} ({1}{U}, Discard this card: Draw a card.)\nWhen you cycle Vizier of Tumbling Sands, untap target permanent.","Creature — Human Cleric","","1","AKH, AKR, C20, CMM","","common","","","","CMM","","","","Human, Cleric","","{T}: Untap another target permanent.\nCycling {1}{U} ({1}{U}, Discard this card: Draw a card.)\nWhen you cycle Vizier of Tumbling Sands, untap target permanent.","3","Creature — Human Cleric","Creature","dfa2b7dc-157c-50ec-8e25-0e530c3c6a75","","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
