"","card_name","commander","commander_deck","index","id","colorIdentity","colorIndicator","colors","convertedManaCost","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","hand","hasAlternativeDeckLimit","hasContentWarning","isAlternative","isReserved","isStarter","isTimeshifted","keywords","leadershipSkills","life","loyalty","manaCost","manaValue","mcmId","mcmMetaId","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","rarity","subtypes","supertypes","text","toughness","type","types","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","ColourlessMana","ManaDiscrep","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana"
"11","Endrek Sahr, Master Breeder","","Dina_upgrade",73009,73010,"B","","B",5,2284,0.14,NA,"",NA,"",NA,0,0,0,0,0,0,"","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{4}{B}",5,13822,8369,"","","Whenever you play a creature spell, put X 1/1 black Thrull creature tokens into play, where X is that spell's converted mana cost.
When you control seven or more Thrulls, sacrifice Endrek Sahr, Master Breeder.","Legendary Creature - Human Wizard","","2","C13,MM2,PLIST,TSP","rare","Human,Wizard","Legendary","Whenever you cast a creature spell, create X 1/1 black Thrull creature tokens, where X is that spell's mana value.
When you control seven or more Thrulls, sacrifice Endrek Sahr, Master Breeder.","2","Legendary Creature — Human Wizard","Creature","",0,1,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0
"12","Eternal Witness","","Dina_upgrade",78119,78120,"G","","G",3,47,0.24,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{1}{G}{G}",3,249109,NA,"","","","","","2","2X2,5DN,C15,CM2,CMA,CMD,CMR,DDJ,F08,MB1,MIC,MMA,P30A,PLIST,PRM,PUMA,PZ1,SCD,SLD,TD0,TSR,UMA,WC04","uncommon","Human,Shaman","","When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.","1","Creature — Human Shaman","Creature","",2,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"13","Fiend Artisan","","Dina_upgrade",59634,59635,"B,G","","B,G",2,1960,0.27,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{B/G}{B/G}",2,NA,NA,"","2020-04-30","","","","1","IKO,PIKO,PRM","mythic","Nightmare","","Fiend Artisan gets +1/+1 for each creature card in your graveyard.
{X}{B/G}, {T}, Sacrifice another creature: Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle. Activate only as a sorcery.","1","Creature — Nightmare","Creature","",0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0
"14","Foundation Breaker","","Dina_upgrade",43486,43487,"G","","G",4,2289,0.09,NA,"",NA,"",NA,0,0,0,0,0,0,"Evoke","",NA,"","{3}{G}",4,566775,341779,"","","When Foundation Breaker enters the battlefield, you may destroy target artifact or enchantment.
Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","Creature — Elemental","","2","MH2","uncommon","Elemental","","When Foundation Breaker enters the battlefield, you may destroy target artifact or enchantment.
Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","2","Creature — Elemental","Creature","",1,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"15","Grim Haruspex","","Dina_upgrade",73772,73773,"B","","B",3,452,0.15,NA,"",NA,"",NA,0,0,0,0,0,0,"Morph","",NA,"","{2}{B}",3,271979,NA,"","","Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Whenever another nontoken creature you control dies, draw a card.","Creature — Human Wizard","","3","C19,CLB,KTK,PKTK,PLIST,PRM,UGIN","rare","Human,Wizard","","Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Whenever another nontoken creature you control dies, draw a card.","2","Creature — Human Wizard","Creature","silumgar",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"16","Liliana's Standard Bearer","","Dina_upgrade",66614,66615,"B","","B",3,2791,0.09,NA,"",NA,"",NA,0,0,0,0,1,0,"Flash","",NA,"","{2}{B}",3,688982,307849,"","","","","","3","M21,MOC,PM21,SCD","rare","Zombie,Knight","","Flash
When Liliana's Standard Bearer enters the battlefield, draw X cards, where X is the number of creatures that died under your control this turn.","1","Creature — Zombie Knight","Creature","",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"17","Masked Vandal","","Dina_upgrade",35366,35367,"G","","G",2,1186,0.12,NA,"",NA,"",NA,0,0,0,0,1,0,"Changeling","",NA,"","{1}{G}",2,536392,328327,"","","","","","1","KHM","common","Shapeshifter","","Changeling (This card is every creature type.)
When Masked Vandal enters the battlefield, you may exile a creature card from your graveyard. If you do, exile target artifact or enchantment an opponent controls.","3","Creature — Shapeshifter","Creature","planeswalker",1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"18","Midnight Reaper","","Dina_upgrade",68608,68609,"B","","B",3,582,0.13,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{B}",3,NA,NA,"","2022-12-05","","","","3","GRN,MIC,MOC,PGRN,SCD,SLD","rare","Zombie,Knight","","Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card.","2","Creature — Zombie Knight","Creature","",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"19","Pawn of Ulamog","","Dina_upgrade",65869,65870,"B","","B",3,940,0.2,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{1}{B}{B}",3,22370,11124,"","","Whenever Pawn of Ulamog or another nontoken creature you control is put into a graveyard from the battlefield, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""","Creature — Vampire Shaman","","2","C17,DDP,ROE","uncommon","Vampire,Shaman","","Whenever Pawn of Ulamog or another nontoken creature you control dies, you may create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}.""","2","Creature — Vampire Shaman","Creature","",0,2,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"20","Pitiless Plunderer","","Dina_upgrade",65333,65334,"B","","B",4,302,0.81,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{3}{B}",4,315409,236208,"","","Whenever another creature you control dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool.""","Creature — Human Pirate","","1","PLIST,RIX","uncommon","Human,Pirate","","Whenever another creature you control dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")","4","Creature — Human Pirate","Creature","",0,1,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"21","Poison-Tip Archer","","Dina_upgrade",39372,39373,"B,G","","B,G",4,928,0.26,NA,"",NA,"",NA,0,0,0,0,0,0,"Deathtouch,Reach","",NA,"","{2}{B}{G}",4,360085,263431,"","","Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.","Creature — Elf Archer","","2","KHC,M19","uncommon","Elf,Archer","","Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.","3","Creature — Elf Archer","Creature","",1,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"22","Priest of Forgotten Gods","","Dina_upgrade",65547,65548,"B","","B",2,1048,0.31,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{1}{B}",2,368417,267710,"","","{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature. You add {B}{B} and draw a card.","Creature — Human Cleric","","1","PRNA,RNA","rare","Human,Cleric","","{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature. You add {B}{B} and draw a card.","2","Creature — Human Cleric","Creature","",0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"23","Reclamation Sage","","Dina_upgrade",73573,73574,"G","","G",3,101,0.24,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{G}",3,546746,NA,"","","When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.","Creature — Elf Shaman","","2","2XM,C14,C18,C20,CMA,CMR,J22,KHC,M15,M19,PLIST,PM15,PRM,SCD,TSR","special","Elf,Shaman","","When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.","1","Creature — Elf Shaman","Creature","",1,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"24","Sakura-Tribe Elder","","Dina_upgrade",71215,71216,"G","","G",2,61,0.09,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{1}{G}",2,NA,NA,"","","","","","1","ARC,C13,C15,C16,C18,C19,C20,CHK,CLB,CMA,CMD,CNS,F09,MB1,NCC,NEC,PJAS,PJJT,PJSE,PRM,PSUS,PZ1,SCD,SLD,TD0","common","Snake,Shaman","","Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.","1","Creature — Snake Shaman","Creature","",1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"25","Shriekmaw","","Dina_upgrade",74131,74132,"B","","B",5,789,0.2,NA,"",NA,"",NA,0,0,0,0,0,0,"Evoke,Fear","",NA,"","{4}{B}",5,366966,9251,"","","Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
When Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.
Evoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","Creature — Elemental","","3","AFC,ARC,C14,C15,C20,CMA,CMD,DDH,LRW,MB1,PLRW,PRM,TD0,TSR,UMA","uncommon","Elemental","","Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
When Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.
Evoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","2","Creature — Elemental","Creature","",0,1,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0
"26","Smothering Abomination","","Dina_upgrade",52312,52313,"B","","",4,1584,0.19,NA,"",NA,"",NA,0,0,0,0,1,0,"Devoid,Flying","",NA,"","{2}{B}{B}",4,285020,NA,"","","","","","4","BFZ,PBFZ","rare","Eldrazi","","Devoid (This card has no color.)
Flying
At the beginning of your upkeep, sacrifice a creature.
Whenever you sacrifice a creature, draw a card.","3","Creature — Eldrazi","Creature","",0,2,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"27","Syr Konrad, the Grim","","Dina_upgrade",79699,79700,"B","","B",5,231,0.76,NA,"",NA,"",NA,0,0,0,0,1,0,"Mill","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{3}{B}{B}",5,503960,NA,"","","Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent.
{1}{B}: Each player mills a card. (They each put the top card of their library into their graveyard.)","Legendary Creature — Human Knight","","5","ELD,J22,MOC,ZNC","uncommon","Human,Knight","Legendary","Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad, the Grim deals 1 damage to each opponent.
{1}{B}: Each player mills a card.","4","Legendary Creature — Human Knight","Creature","",0,2,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"28","Vindictive Vampire","","Dina_upgrade",65554,65555,"B","","B",4,1576,0.19,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{3}{B}",4,368580,267846,"","","Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life.","Creature — Vampire","","2","RNA","uncommon","Vampire","","Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life.","3","Creature — Vampire","Creature","",0,1,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"29","Witch of the Moors","","Dina_upgrade",55591,55592,"B","","B",5,2019,0.36,NA,"",NA,"",NA,0,0,0,0,0,0,"Deathtouch","",NA,"","{3}{B}{B}",5,576046,308479,"","2021-09-25","","","","4","JMP,PLIST","rare","Human,Warlock","","Deathtouch
At the beginning of your end step, if you gained life this turn, each opponent sacrifices a creature and you return up to one target creature card from your graveyard to your hand.","4","Creature — Human Warlock","Creature","",0,2,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"30","Woe Strider","","Dina_upgrade",71708,71709,"B","","B",3,893,0.15,NA,"",NA,"",NA,0,0,0,0,1,0,"Escape,Scry","",NA,"","{2}{B}",3,430409,290829,"","","","","","3","AJMP,CLB,NCC,PRM,PTHB,THB","rare","Horror","","When Woe Strider enters the battlefield, create a 0/1 white Goat creature token.
Sacrifice another creature: Scry 1.
Escape—{3}{B}{B}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)
Woe Strider escapes with two +1/+1 counters on it.","2","Creature — Horror","Creature","",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"31","Yawgmoth, Thran Physician","","Dina_upgrade",73543,73544,"B","","B",4,674,1.17,NA,"",NA,"",NA,0,0,0,0,0,0,"Proliferate,Protection","{""brawl"": false, ""commander"": true, ""oathbreaker"": false}",NA,"","{2}{B}{B}",4,543991,NA,"","","Protection from Humans
Pay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card.
{B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)","Legendary Creature — Human Cleric","","2","DMR,J21,MH1,TSR","special","Human,Cleric","Legendary","Protection from Humans
Pay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card.
{B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)","4","Legendary Creature — Human Cleric","Creature","",0,2,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"32","Bastion of Remembrance","","Dina_upgrade",31337,31338,"B","","B",3,335,0.29,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{B}",3,452228,300888,"","","When Bastion of Remembrance enters the battlefield, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.","Enchantment","","","IKO","uncommon","","","When Bastion of Remembrance enters the battlefield, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.","","Enchantment","Enchantment","",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"33","Blight Mound","","Dina_upgrade",60357,60358,"B","","B",3,2385,0.09,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{2}{B}",3,NA,NA,"","2021-05-01","","","","","C21,PRM","rare","","","Attacking Pests you control get +1/+0 and have menace.
Whenever a nontoken creature you control dies, create a 1/1 black and green Pest creature token with ""When this creature dies, you gain 1 life.""","","Enchantment","Enchantment","",0,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"34","Dictate of Erebos","","Dina_upgrade",40837,40838,"B","","B",5,464,1.48,NA,"",NA,"",NA,0,0,0,0,0,0,"Flash","",NA,"","{3}{B}{B}",5,418471,209553,"","","","","","","JOU,MB1","rare","","","Flash
Whenever a creature you control dies, each opponent sacrifices a creature.","","Enchantment","Enchantment","",0,2,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"35","Exquisite Blood","","Dina_upgrade",67952,67953,"B","","B",5,632,1.26,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{4}{B}",5,NA,NA,"","2021-11-29","","","","","AVR,JMP,PLIST,SLD","rare","","","Whenever an opponent loses life, you gain that much life.","","Enchantment","Enchantment","",0,1,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0
"36","Necropotence","","Dina_upgrade",76323,76324,"B","","B",3,429,1.48,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{B}{B}{B}",3,NA,NA,"","","Skip your draw step.
Whenever you discard a card, exile that card from your graveyard.
Pay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.","Enchantment","","","5ED,DKM,EMA,ICE,IMA,ME2,OLEP,PTC,SLC,V09,VMA","rare","","","Skip your draw step.
Whenever you discard a card, exile that card from your graveyard.
Pay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.","","Enchantment","Enchantment","",0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"37","Sylvan Library","","Dina_upgrade",76428,76429,"G","","G",2,105,0.95,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{1}{G}",2,NA,NA,"","","At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.","Enchantment","","","4BB,4ED,5ED,CC1,CM1,DMR,EMA,LEG,ME1,OLGC,PRM,PTC,PZ1,REN,VMA","rare","","","At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.","","Enchantment","Enchantment","",1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"38","Baleful Mastery","","Dina_upgrade",70629,70630,"B","","B",4,866,0.16,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{3}{B}",4,557618,338905,"","","You may pay {1}{B} rather than pay this spell's mana cost.
If the {1}{B} cost was paid, an opponent draws a card.
Exile target creature or planeswalker.","Instant","","","PRM,PSTX,STX","rare","","","You may pay {1}{B} rather than pay this spell's mana cost.
If the {1}{B} cost was paid, an opponent draws a card.
Exile target creature or planeswalker.","","Instant","Instant","",0,1,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0
"39","Mortality Spear","","Dina_upgrade",70721,70722,"B,G","","B,G",4,2107,0.13,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{2}{B}{G}",4,560583,339163,"","","This spell costs {2} less to cast if you gained life this turn.
Destroy target nonland permanent.","Instant","","","PRM,STX","uncommon","","","This spell costs {2} less to cast if you gained life this turn.
Destroy target nonland permanent.","","Instant","Instant","planeswalker",1,1,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0
"40","Tainted Pact","","Dina_upgrade",70124,70125,"B","","B",2,744,1.45,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{1}{B}",2,557106,NA,"","","","","","","ODY,STA","mythic","","","Exile the top card of your library. You may put that card into your hand unless it has the same name as another card exiled this way. Repeat this process until you put a card into your hand or you exile two cards with the same name, whichever comes first.","","Instant","Instant","",0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"41","Vampiric Tutor","","Dina_upgrade",78449,78450,"B","","B",1,65,1.2,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","{B}",1,249779,NA,"","","","","","","6ED,CMR,DMR,EMA,G00,J18,OLEP,PLIST,PRM,VIS,VMA,WC99","rare","","","Search your library for a card, then shuffle and put that card on top. You lose 2 life.","","Instant","Instant","",0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"42","Worldly Tutor","","Dina_upgrade",44744,44745,"G","","G",1,128,0.77,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","{G}",1,8204,6720,"","","Search your library for a creature card and reveal that card to all players. Shuffle your library and put the revealed card back on top of it.","Instant","","","6ED,CC1,DMR,MIR","uncommon","","","Search your library for a creature card, reveal it, then shuffle and put the card on top.","","Instant","Instant","",1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"43","Bala Ged Recovery // Bala Ged Sanctuary","","Dina_upgrade",80028,80029,"G","","",0,162,NA,NA,"",NA,"Bala Ged Sanctuary",NA,0,0,0,0,0,0,"","",NA,"","",0,495294,316259,"","","Bala Ged Sanctuary enters the battlefield tapped.
{T}: Add {G}.


Sorcery
{2}{G}","Land","5fc410b3-69aa-5409-aad0-bfa838811d7f","","ZNR","uncommon","","","Bala Ged Sanctuary enters the battlefield tapped.
{T}: Add {G}.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"44","Cabal Coffers","","Dina_upgrade",72508,72509,"B","","",0,124,0.94,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,2408,764,"","","o2, oc
T: Add o
B to your mana pool for each swamp you control.","Land","","","F07,HOP,MH2,PMH2,PRM,TOR","uncommon","","","{2}, {T}: Add {B} for each Swamp you control.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"45","City of Brass","","Dina_upgrade",78348,78349,"","","",0,94,0.12,NA,"",NA,"",NA,0,0,0,0,1,0,"","",NA,"","",0,249817,NA,"","","","","","","2X2,5ED,6ED,7ED,8ED,ARN,BCHR,CHR,MD1,ME4,MMA,OLEP,PRM,PSUS,PTC,RIN,WC00,WC01,WC02,WC03,WC97,WC98","rare","","","Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"46","Fabled Passage","","Dina_upgrade",68447,68448,"","","",0,49,0.08,NA,"",NA,"",NA,0,0,0,0,0,0,"","",NA,"","",0,701186,NA,"","2022-12-02","","","","","ELD,M21,PELD,PM21,PRM,PW21,SLD","rare","","","{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.","","Land","Land","",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
