"","cardNumber","setCode","commander","foil","commander_deck","artist","asciiName","attractionLights","availability","boosterTypes","borderColor","cardParts","colorIdentity","colorIndicator","colors","defense","duelDeck","edhrecRank","edhrecSaltiness","faceConvertedManaCost","faceFlavorName","faceManaValue","faceName","finishes","flavorName","flavorText","frameEffects","frameVersion","hand","hasAlternativeDeckLimit","hasContentWarning","hasFoil","hasNonFoil","isAlternative","isFullArt","isFunny","isOnlineOnly","isOversized","isPromo","isRebalanced","isReprint","isReserved","isStarter","isStorySpotlight","isTextless","isTimeshifted","keywords","language","layout","leadershipSkills","life","loyalty","manaCost","manaValue","name","originalPrintings","originalReleaseDate","originalText","originalType","otherFaceIds","power","printings","promoTypes","rarity","rebalancedPrintings","relatedCards","securityStamp","side","signature","subsets","subtypes","supertypes","text","toughness","type","types","uuid","variations","watermark","GreenMana","BlackMana","BlueMana","WhiteMana","RedMana","GreenBlackMana","GreenBlueMana","GreenWhiteMana","GreenRedMana","BlackBlueMana","BlackWhiteMana","BlackRedMana","BlueWhiteMana","BlueRedMana","WhiteRedMana","GreenPhyrexian","BlackPhyrexian","BluePhyrexian","WhitePhyrexian","RedPhyrexian","GreenWhitePhyrexian","GreenRedPhyrexian","WhiteRedPhyrexian","GreenTwo","BlackTwo","BlueTwo","WhiteTwo","RedTwo","ColourlessMana","ManaDiscrep"
"11",110,"KHM","","","Lathril, Blade of the Elves","Matt Stewart","","","arena, mtgo, paper","default","black","","B","","B",NA,"",2762,0.07,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{3}{B}",4,"Skemfar Shadowsage","","","When Skemfar Shadowsage enters the battlefield, choose one —\n• Each opponent loses X life, where X is the greatest number of creatures you control that have a creature type in common.\n• You gain X life, where X is the greatest number of creatures you control that have a creature type in common.","Creature — Elf Cleric","","2","KHM","","uncommon","","","","","","","Elf, Cleric","","When Skemfar Shadowsage enters the battlefield, choose one —\n• Each opponent loses X life, where X is the greatest number of creatures you control that have a creature type in common.\n• You gain X life, where X is the greatest number of creatures you control that have a creature type in common.","5","Creature — Elf Cleric","Creature","623ffec9-2b27-58f5-8789-6a359194ffd5","","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"12",111,"KHC","","","Lathril, Blade of the Elves","Eytan Zana","","","mtgo, paper","","black","","B, G","","",NA,"",920,0.05,NA,"",NA,"","nonfoil","","Every part of the gate was reclaimed from forgotten ruins and imbued with new purpose by the Swarm.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Golgari Guildgate","","","Golgari Guildgate enters the battlefield tapped.\n{T}: Add {B} or {G}.","Land — Gate","","","C13, C15, C19, CMA, DDM, DGM, GRN, KHC, MM3, RTR","","common","","","","","","","Gate","","Golgari Guildgate enters the battlefield tapped.\n{T}: Add {B} or {G}.","","Land — Gate","Land","b98313dc-05bd-52af-90ca-1b8e4aa6b530","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"13",112,"KHC","","","Lathril, Blade of the Elves","John Avon","","","mtgo, paper","","black","","B, G","","",NA,"",294,0.02,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Golgari Rot Farm","","","Golgari Rot Farm enters the battlefield tapped.\nWhen Golgari Rot Farm enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {B}{G}.","Land","","","2X2, C13, C15, C16, C18, C19, C20, C21, CM2, CMA, CMD, DDJ, GK1, IMA, KHC, MM2, PRM, RAV, TD0","","uncommon","","","","","","","","","Golgari Rot Farm enters the battlefield tapped.\nWhen Golgari Rot Farm enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {B}{G}.","","Land","Land","b3caecaf-03a6-502d-840f-b891268bfc0a","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"14",112,"STX","","","Magda, Brazen Outlaw","Antonio José Manzanedo","","","arena, mtgo, paper","default","black","","R","","R",NA,"",12211,NA,NA,"",NA,"","nonfoil, foil","","A giant statue of a dwarf is still a giant statue.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reach","English","normal","",NA,"","{3}{R}",4,"Pillardrop Warden","","","Reach\n{2}, {T}, Sacrifice Pillardrop Warden: Return target instant or sorcery card from your graveyard to your hand. Activate only as a sorcery.","Creature — Spirit Dwarf","","1","STX","","common","","","","","","","Spirit, Dwarf","","Reach\n{2}, {T}, Sacrifice Pillardrop Warden: Return target instant or sorcery card from your graveyard to your hand. Activate only as a sorcery.","5","Creature — Spirit Dwarf","Creature","1b4a82f1-032d-54cc-8f63-5af4a09a9609","","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"15",1128,"SLD","","","Magda, Brazen Outlaw","kozyndan","","","paper","","borderless","","R","","R",NA,"",2557,0.57,NA,"",NA,"","nonfoil, foil","","Sometimes, a butterfly flapping its wings is insignificant.","inverted","2015",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","English","normal","",NA,"","{R}",1,"Winds of Change","","2022-12-02","","","","","4BB, 4ED, 5ED, LEG, ME1, POR, REN, SLD","","rare","","","oval","","","Special Guest: Kozyndan - Another Story","","","Each player shuffles the cards from their hand into their library, then draws that many cards.","","Sorcery","Sorcery","7c05a485-59b5-58d5-b1a0-6d536779dd30","","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"16",113,"KHC","","","Lathril, Blade of the Elves","Eytan Zana","","","mtgo, paper","","black","","B, G","","",NA,"",672,0.06,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Jungle Hollow","","","Jungle Hollow enters the battlefield tapped.\nWhen Jungle Hollow enters the battlefield, you gain 1 life.\n{T}: Add {B} or {G}.","Land","","","C15, C16, C18, C19, C21, CMA, EMA, FRF, IKO, KHC, KTK, M20, M21, MB1, MOM, NEO","","common","","","","","","","","","Jungle Hollow enters the battlefield tapped.\nWhen Jungle Hollow enters the battlefield, you gain 1 life.\n{T}: Add {B} or {G}.","","Land","Land","da9d6272-a2d0-5baf-82c0-2ee3390659cf","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"17",113,"KHM","","","Lathril, Blade of the Elves","Yongjae Choi","","","arena, mtgo, paper","default","black","","B","","B",NA,"",7708,0.14,NA,"",NA,"","nonfoil, foil","","Tergrid, god of fright, never acknowledges her own shadow . . . or its murderous deeds.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Foretell","English","normal","",NA,"","{3}{B}{B}",5,"Tergrid's Shadow","","","Each player sacrifices two creatures.\nForetell {2}{B}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)","Instant","","","KHM","","uncommon","","","","","","","","","Each player sacrifices two creatures.\nForetell {2}{B}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)","","Instant","Instant","7d59a82c-b5c1-5b89-aeae-6317ec5a246b","","foretell",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"18",115,"KHC","","","Lathril, Blade of the Elves","Richard Wright","","","mtgo, paper","","black","","","","",NA,"",16,0.06,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"","English","normal","",NA,"","",0,"Myriad Landscape","","","Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle your library.","Land","","","40K, A25, BRC, C14, C16, C17, C18, C19, C20, C21, CLB, CMA, CMR, KHC, MIC, MOC, NCC, ONC, PHED, PRM, SCD, VOC, ZNC","","uncommon","","","","","","","","","Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.","","Land","Land","ba245811-4e04-5d8c-983d-2c7103d6cd03","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"19",116,"SNC","","","Magda, Brazen Outlaw","Dan Scott","","","arena, mtgo, paper","default","black","","R","","R",NA,"",392,0.42,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Menace, Treasure","English","normal","",NA,"","{2}{R}",3,"Professional Face-Breaker","","","Menace\nWhenever one or more creatures you control deal combat damage to a player, create a Treasure token.\nSacrifice a Treasure: Exile the top card of your library. You may play that card this turn.","Creature — Human Warrior","","2","J22, PRM, PSNC, SNC","","rare","","","oval","","","","Human, Warrior","","Menace\nWhenever one or more creatures you control deal combat damage to a player, create a Treasure token.\nSacrifice a Treasure: Exile the top card of your library. You may play that card this turn.","3","Creature — Human Warrior","Creature","14752dc2-de66-5a31-9e3c-928411540af2","fe813900-9e90-52ae-b466-d9e3ade1ae26","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"20",117,"KHC","","","Lathril, Blade of the Elves","Alayna Danner","","","mtgo, paper","","black","","","","",NA,"",29,0.06,NA,"",NA,"","nonfoil","","","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"Scry","English","normal","",NA,"","",0,"Path of Ancestry","","","Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1.","Land","","","40K, AFC, BRC, C17, C20, CLB, CMR, KHC, LTC, MIC, MOC, NCC, ONC, P30A, PCTB, PHED, PLG21, PRM, PZ2, SCD, SLD, VOC","","common","","","","","","","","","Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)","","Land","Land","6f862562-c828-5d50-96ef-036adb9a21ff","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"21",118,"STX","","","Magda, Brazen Outlaw","Chris Seaman","","","arena, mtgo, paper","default","black","","R","","R",NA,"",14992,0.22,NA,"",NA,"","nonfoil, foil","","""May your wretched name never grace the annals of history, you ignorant buffoon!""","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Double strike","English","normal","",NA,"","{2}{R}",3,"Twinscroll Shaman","","","Double strike","Creature — Dwarf Shaman","","1","STX","","common","","","","","","","Dwarf, Shaman","","Double strike","2","Creature — Dwarf Shaman","Creature","b8d2f2a7-b630-57ee-b159-c309966ced0a","","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"22",12,"BRC","","","Magda, Brazen Outlaw","Aldo Domínguez","","","mtgo, paper","","black","","R","","R",NA,"",4406,NA,NA,"",NA,"","nonfoil","","","","1997",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Double strike, Flying, Offering","English","normal","",NA,"","{7}{R}{R}",9,"Blast-Furnace Hellkite","","","Artifact offering (You may cast this spell as thought it had flash by sacrificing an artifact and paying the difference in mana costs between this and the sacrificed artifact. Mana cost includes color.)\nFlying, double strike\nCreatures attacking your opponents have double strike.","Creature — Dragon","","5","BRC, PRM","","rare","","","","","","","Dragon","","Artifact offering (You may cast this spell as though it had flash by sacrificing an artifact and paying the difference in mana costs between this and the sacrificed artifact. Mana cost includes color.)\nFlying, double strike\nCreatures attacking your opponents have double strike.","5","Creature — Dragon","Creature","22463a5f-2644-5656-b3cc-9828300baf19","8dc44c3a-2722-56ff-a1f5-60dd3580f3cb","",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA
"23",12,"KHC","","","Lathril, Blade of the Elves","Colin Boyer","","","mtgo, paper","","black","","G","","G",NA,"",4779,0.16,NA,"",NA,"","nonfoil","","Even war cannot dull Skemfar's beauty.","","2015",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"","English","normal","",NA,"","{2}{G}",3,"Bounty of Skemfar","","","Reveal the top six cards of your library. You may put a land card from among them onto the battlefield tapped and an Elf card from among them into your hand. Put the rest on the bottom of your library in a random order.","Sorcery","","","KHC","","rare","","","oval","","","","","","Reveal the top six cards of your library. You may put a land card from among them onto the battlefield tapped and an Elf card from among them into your hand. Put the rest on the bottom of your library in a random order.","","Sorcery","Sorcery","a333b9e7-e10b-53f8-8608-fd61237c0ff6","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA
"24",120,"2X2","","","Magda, Brazen Outlaw","Wayne Reynolds","","","mtgo, paper","default","black","","R","","R",NA,"",1625,0.06,NA,"",NA,"","nonfoil, foil","","Goblins can carry their body weight in loot.","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Treasure","English","normal","",NA,"","{3}{R}",4,"Pirate's Pillage","","","As an additional cost to cast this spell, discard a card.\nDraw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")","Sorcery","","","2X2, RIX","","common","","","","","","","","","As an additional cost to cast this spell, discard a card.\nDraw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")","","Sorcery","Sorcery","e66ecb7f-0f26-56d2-85b0-80726bf8e26f","","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
"25",121,"CMR","","","Lathril, Blade of the Elves","Randy Vargas","","","mtgo, paper","default","black","","B","","B",NA,"",5416,0.09,NA,"",NA,"","nonfoil, foil","","","","2015",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deathtouch, Encore","English","normal","",NA,"","{3}{B}{B}",5,"Elvish Dreadlord","","","Deathtouch\nWhen Elvish Dreadlord dies, non-Elf creatures get -3/-3 until end of turn.\nEncore {5}{B}{B} ({5}{B}{B}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)","Creature — Zombie Elf","","3","CMR, PRM","","rare","","","oval","","","","Zombie, Elf","","Deathtouch\nWhen Elvish Dreadlord dies, non-Elf creatures get -3/-3 until end of turn.\nEncore {5}{B}{B} ({5}{B}{B}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)","3","Creature — Zombie Elf","Creature","f72ab129-3420-5389-b43d-4a4a088d56aa","521b70e2-1dba-5915-b2dc-268884f939c9","",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
