"artist","artistIds","asciiName","availability","boosterTypes","borderColor","colorIdentity","colors","edhrecSaltiness","faceName","finishes","flavorText","frameEffects","frameVersion","hasFoil","hasNonFoil","isFullArt","isFunny","isPromo","isReprint","isTextless","keywords","language","layout","name","number","orientation","originalText","originalType","otherFaceIds","power","promoTypes","relatedCards","reverseRelated","securityStamp","setCode","side","signature","subtypes","supertypes","text","toughness","type","types","uuid","watermark"
"Xavier Ribeiro","e17c2662-0491-47b2-bf1d-8c111a8ad3f8","","paper","","borderless","","",NA,"Flameskull","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Flameskull // Flameskull","14","horizontal","","","6535cb92-d1a8-50ab-b1f3-dccab78bcd81","","","","","","AAFR","b","Xavier Ribeiro","","","","","Card","Card","1792d862-56cf-5791-86c7-5f3e332ad2b6",""
"Ilse Gort","12070c2e-4de6-46bc-b379-8a580dfb34c5","","paper","","black","","",NA,"Owlbear","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Owlbear // Owlbear","15","horizontal","","","8036fb4d-141c-545f-bb30-5827e6bb833a","","","","","","AAFR","a","Ilse Gort","","","","","Card","Card","85a4e6e9-ad0b-51dc-8b1d-ec7e6445a88a",""
"Ilse Gort","12070c2e-4de6-46bc-b379-8a580dfb34c5","","paper","","black","","",NA,"Owlbear","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Owlbear // Owlbear","15","horizontal","","","85a4e6e9-ad0b-51dc-8b1d-ec7e6445a88a","","","","","","AAFR","b","Ilse Gort","","","","","Card","Card","8036fb4d-141c-545f-bb30-5827e6bb833a",""
"Jason Kang","064b9176-e325-44f6-a413-2cadb7505851","","paper","","borderless","","",NA,"Bulette","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bulette // Bulette","16","horizontal","","","ff5cb82d-d8a5-59e8-a9f2-7736bc5f31aa","","","","","","AAFR","a","Jason Kang","","","","","Card","Card","96431c57-94eb-5c4e-a652-384bb0186ebb",""
"Jason Kang","064b9176-e325-44f6-a413-2cadb7505851","","paper","","borderless","","",NA,"Bulette","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bulette // Bulette","16","horizontal","","","96431c57-94eb-5c4e-a652-384bb0186ebb","","","","","","AAFR","b","Jason Kang","","","","","Card","Card","ff5cb82d-d8a5-59e8-a9f2-7736bc5f31aa",""
"Jodie Muir","b09e6cd1-0257-425a-9bbb-5cac3f803443","","paper","","borderless","","",NA,"Drider","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Drider // Drider","17","horizontal","","","59403f01-472e-5a0b-b77d-96e7d8ddaa89","","","","","","AAFR","a","Jodie Muir","","","","","Card","Card","5dc00cfc-b86e-5f1e-82b7-ff2f25c82019",""
"Jodie Muir","b09e6cd1-0257-425a-9bbb-5cac3f803443","","paper","","borderless","","",NA,"Drider","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Drider // Drider","17","horizontal","","","5dc00cfc-b86e-5f1e-82b7-ff2f25c82019","","","","","","AAFR","b","Jodie Muir","","","","","Card","Card","59403f01-472e-5a0b-b77d-96e7d8ddaa89",""
"Jason A. Engle","02e2b5de-4341-464c-8fdb-a1adbf873bc0","","paper","","borderless","","",NA,"Sepulcher Ghoul","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Sepulcher Ghoul // Sepulcher Ghoul","18","horizontal","","","964e3977-a025-538a-9686-d9b8477eff24","","","","","","AAFR","a","Jason A. Engle","","","","","Card","Card","dad4f3f6-a00b-5b78-9042-6de10322617d",""
"Jason A. Engle","02e2b5de-4341-464c-8fdb-a1adbf873bc0","","paper","","borderless","","",NA,"Sepulcher Ghoul","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Sepulcher Ghoul // Sepulcher Ghoul","18","horizontal","","","dad4f3f6-a00b-5b78-9042-6de10322617d","","","","","","AAFR","b","Jason A. Engle","","","","","Card","Card","964e3977-a025-538a-9686-d9b8477eff24",""
"Filip Burburan","66082c3b-a623-4d34-be51-2475214b85d3","","paper","","borderless","","",NA,"The Tarrasque","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","The Tarrasque // Tarrasque","19","horizontal","","","fbc35edf-2961-5282-bf7e-b8d27d5608aa","","","","","","AAFR","a","Filip Burburan","","","","","Card","Card","4d0c9687-f57a-542d-b888-67d1fce8eacb",""
"Filip Burburan","66082c3b-a623-4d34-be51-2475214b85d3","","paper","","borderless","","",NA,"Tarrasque","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","The Tarrasque // Tarrasque","19","horizontal","","","4d0c9687-f57a-542d-b888-67d1fce8eacb","","","","","","AAFR","b","Filip Burburan","","","","","Card","Card","fbc35edf-2961-5282-bf7e-b8d27d5608aa",""
"Oriana Menendez","d09f4925-a6b9-48d7-89f7-4db6deab1c7c","","paper","","borderless","","",NA,"Blink Dog","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Blink Dog // Blink Dog","20","horizontal","","","7a3a8eeb-9aa3-5d8e-9635-591ed44161b5","","","","","","AAFR","a","Oriana Menendez","","","","","Card","Card","d0bc91ed-6cfc-51da-a874-3a99e348f7ff",""
"Oriana Menendez","d09f4925-a6b9-48d7-89f7-4db6deab1c7c","","paper","","borderless","","",NA,"Blink Dog","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Blink Dog // Blink Dog","20","horizontal","","","d0bc91ed-6cfc-51da-a874-3a99e348f7ff","","","","","","AAFR","b","Oriana Menendez","","","","","Card","Card","7a3a8eeb-9aa3-5d8e-9635-591ed44161b5",""
"Svetlin Velinov","ffd063ae-c097-4f26-b2e6-b1e2137708bc","","paper","","borderless","","",NA,"Loathsome Troll","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Loathsome Troll // Troll","21","horizontal","","","ce5fa98e-4ffe-5f0f-be4a-816bf749a367","","","","","","AAFR","a","Svetlin Velinov","","","","","Card","Card","5fbc40f8-da5e-51a7-b46a-4d58f1fc0c6b",""
"Svetlin Velinov","ffd063ae-c097-4f26-b2e6-b1e2137708bc","","paper","","borderless","","",NA,"Troll","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Loathsome Troll // Troll","21","horizontal","","","5fbc40f8-da5e-51a7-b46a-4d58f1fc0c6b","","","","","","AAFR","b","Svetlin Velinov","","","","","Card","Card","ce5fa98e-4ffe-5f0f-be4a-816bf749a367",""
"Oriana Menendez","d09f4925-a6b9-48d7-89f7-4db6deab1c7c","","paper","","borderless","","",NA,"Minion of the Mighty","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Minion of the Mighty // Kobold","22","horizontal","","","1a224c3f-3a1b-5b54-9b91-afc1d6406d88","","","","","","AAFR","a","Oriana Menendez","","","","","Card","Card","a8dba437-a8e3-55e0-aeec-c2fbb202de19",""
"Oriana Menendez","d09f4925-a6b9-48d7-89f7-4db6deab1c7c","","paper","","borderless","","",NA,"Kobold","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Minion of the Mighty // Kobold","22","horizontal","","","a8dba437-a8e3-55e0-aeec-c2fbb202de19","","","","","","AAFR","b","Oriana Menendez","","","","","Card","Card","1a224c3f-3a1b-5b54-9b91-afc1d6406d88",""
"Yigit Koroglu","a24479f8-6d9e-40f9-bede-f29899922b97","","paper","","borderless","","",NA,"Xorn","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Xorn // Xorn","23","horizontal","","","3cc761ad-8bce-5cad-a098-38bab61c20e7","","","","","","AAFR","a","Yigit Koroglu","","","","","Card","Card","b8ef28df-2fdf-5555-86ea-e3e946b1e960",""
"Yigit Koroglu","a24479f8-6d9e-40f9-bede-f29899922b97","","paper","","borderless","","",NA,"Xorn","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Xorn // Xorn","23","horizontal","","","b8ef28df-2fdf-5555-86ea-e3e946b1e960","","","","","","AAFR","b","Yigit Koroglu","","","","","Card","Card","3cc761ad-8bce-5cad-a098-38bab61c20e7",""
"Andrew Mar","adad79bf-cd52-456a-b170-740ed8bff0fc","","paper","","borderless","","",NA,"Swarming Goblins","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Swarming Goblins // Goblin","24","horizontal","","","5ec5faa4-d213-571f-b2e1-ca0b613cb9bd","","","","","","AAFR","a","Andrew Mar","","","","","Card","Card","c40d244d-16a8-5fe8-9f6e-f19f92c33330",""
"Andrew Mar","adad79bf-cd52-456a-b170-740ed8bff0fc","","paper","","borderless","","",NA,"Goblin","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Swarming Goblins // Goblin","24","horizontal","","","c40d244d-16a8-5fe8-9f6e-f19f92c33330","","","","","","AAFR","b","Andrew Mar","","","","","Card","Card","5ec5faa4-d213-571f-b2e1-ca0b613cb9bd",""
"Andrew Mar","adad79bf-cd52-456a-b170-740ed8bff0fc","","paper","","borderless","","",NA,"Lurking Roper","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Lurking Roper // Roper","25","horizontal","","","f551936d-0915-5726-a1b8-e424d9625a80","","","","","","AAFR","a","Andrew Mar","","","","","Card","Card","bd0bd2e8-2531-5f00-b165-e64a2eaf950c",""
"Andrew Mar","adad79bf-cd52-456a-b170-740ed8bff0fc","","paper","","borderless","","",NA,"Roper","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Lurking Roper // Roper","25","horizontal","","","bd0bd2e8-2531-5f00-b165-e64a2eaf950c","","","","","","AAFR","b","Andrew Mar","","","","","Card","Card","f551936d-0915-5726-a1b8-e424d9625a80",""
"Chris Rahn","7742047e-0f80-4c0f-a530-d07460165e86","","paper","","borderless","","",NA,"Tiamat","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Tiamat // Tiamat","26","horizontal","","","0e358a54-fd0f-59df-b9d0-b7e3d550bbfc","","","","","","AAFR","a","Chris Rahn","","","","","Card","Card","e8b80925-c76b-5dc4-b7f6-899d4e6e1f71",""
"Chris Rahn","7742047e-0f80-4c0f-a530-d07460165e86","","paper","","borderless","","",NA,"Tiamat","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Tiamat // Tiamat","26","horizontal","","","e8b80925-c76b-5dc4-b7f6-899d4e6e1f71","","","","","","AAFR","b","Chris Rahn","","","","","Card","Card","0e358a54-fd0f-59df-b9d0-b7e3d550bbfc",""
"Scott Murphy","07c7ac65-dfa6-4273-9c66-ec9d8f3e2226","","paper","","borderless","","",NA,"Mimic","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Mimic // Mimic","27","horizontal","","","56e8563e-41b0-51c3-a469-bd5481c7fd98","","","","","","AAFR","a","Scott Murphy","","","","","Card","Card","57933bc7-687a-5b6d-bbd8-e21b70d06627",""
"Scott Murphy","07c7ac65-dfa6-4273-9c66-ec9d8f3e2226","","paper","","borderless","","",NA,"Mimic","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Mimic // Mimic","27","horizontal","","","57933bc7-687a-5b6d-bbd8-e21b70d06627","","","","","","AAFR","b","Scott Murphy","","","","","Card","Card","56e8563e-41b0-51c3-a469-bd5481c7fd98",""
"Zoltan Boros","1885e6cb-c827-4896-994e-3d0a027d602f","","paper","","borderless","","",NA,"Half-Elf Monk","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Half-Elf Monk // Half-Elf Monk","28","horizontal","","","354be807-4456-554d-9d8d-0bcd45d9ba9d","","","","","","AAFR","a","Zoltan Boros","","","","","Card","Card","a6fd815b-89cd-5bd3-b2d4-10652e53a7d0",""
"Zoltan Boros","1885e6cb-c827-4896-994e-3d0a027d602f","","paper","","borderless","","",NA,"Half-Elf Monk","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Half-Elf Monk // Half-Elf Monk","28","horizontal","","","a6fd815b-89cd-5bd3-b2d4-10652e53a7d0","","","","","","AAFR","b","Zoltan Boros","","","","","Card","Card","354be807-4456-554d-9d8d-0bcd45d9ba9d",""
"Kieran Yanner","aa7e89ed-d294-4633-9057-ce04dacfcfa4","","paper","","borderless","","",NA,"Xanathar, Guild Kingpin","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Xanathar, Guild Kingpin // Xanathar, Guild Kingpin","29","horizontal","","","3d70e0e2-7f7d-5fcd-8b94-5fc89956bd12","","","","","","AAFR","a","Kieran Yanner","","","","","Card","Card","7fea02e1-f792-51bc-a3ff-3f1f40487646",""
"Kieran Yanner","aa7e89ed-d294-4633-9057-ce04dacfcfa4","","paper","","borderless","","",NA,"Xanathar, Guild Kingpin","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Xanathar, Guild Kingpin // Xanathar, Guild Kingpin","29","horizontal","","","7fea02e1-f792-51bc-a3ff-3f1f40487646","","","","","","AAFR","b","Kieran Yanner","","","","","Card","Card","3d70e0e2-7f7d-5fcd-8b94-5fc89956bd12",""
"Mark Zug","48e2b98c-5467-4671-bd42-4c3746115117","","paper","","borderless","","",NA,"Hobgoblin Bandit Lord","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Hobgoblin Bandit Lord // Hobgoblin","30","horizontal","","","88a3a479-113e-596a-9349-23c18606cf66","","","","","","AAFR","a","Mark Zug","","","","","Card","Card","47c426bd-45f8-5b61-a02f-36fd77659a4a",""
"Mark Zug","48e2b98c-5467-4671-bd42-4c3746115117","","paper","","borderless","","",NA,"Hobgoblin","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Hobgoblin Bandit Lord // Hobgoblin","30","horizontal","","","47c426bd-45f8-5b61-a02f-36fd77659a4a","","","","","","AAFR","b","Mark Zug","","","","","Card","Card","88a3a479-113e-596a-9349-23c18606cf66",""
"Wisnu Tan","f2d36cdd-a4e9-43ba-b2ad-9d514f6706d4","","paper","","borderless","","",NA,"Delina, Wild Mage","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Delina, Wild Mage // Delina, Wild Mage","31","horizontal","","","a29dcf9b-9f2f-5da3-81d0-8b2a0cd035f9","","","","","","AAFR","a","Wisnu Tan","","","","","Card","Card","5a49cf7d-8d77-5e5a-b228-d22df61c1f74",""
"Wisnu Tan","f2d36cdd-a4e9-43ba-b2ad-9d514f6706d4","","paper","","borderless","","",NA,"Delina, Wild Mage","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Delina, Wild Mage // Delina, Wild Mage","31","horizontal","","","5a49cf7d-8d77-5e5a-b228-d22df61c1f74","","","","","","AAFR","b","Wisnu Tan","","","","","Card","Card","a29dcf9b-9f2f-5da3-81d0-8b2a0cd035f9",""
"Magali Villeneuve","9e6a55ae-be4d-4c23-a2a5-135737ffd879","","paper","","borderless","","",NA,"Farideh, Devil's Chosen","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Farideh, Devil's Chosen // Farideh, Devil's Chosen","32","horizontal","","","4071743e-962c-5941-ae7b-96c8735861cd","","","","","","AAFR","a","Magali Villeneuve","","","","","Card","Card","c404decb-8bc3-5b86-8475-85a270032e41",""
"Magali Villeneuve","9e6a55ae-be4d-4c23-a2a5-135737ffd879","","paper","","borderless","","",NA,"Farideh, Devil's Chosen","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Farideh, Devil's Chosen // Farideh, Devil's Chosen","32","horizontal","","","c404decb-8bc3-5b86-8475-85a270032e41","","","","","","AAFR","b","Magali Villeneuve","","","","","Card","Card","4071743e-962c-5941-ae7b-96c8735861cd",""
"Howard Lyon","6dd06426-59fe-4b9c-aad5-6da8446a5c3d","","paper","","borderless","","",NA,"Minsc, Beloved Ranger","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Minsc, Beloved Ranger // Minsc, Beloved Ranger","33","horizontal","","","783292ea-ad51-5683-af6f-d6549538ccbf","","","","","","AAFR","a","Howard Lyon","","","","","Card","Card","b3a66a56-01d6-539d-a672-360947f802a1",""
"Howard Lyon","6dd06426-59fe-4b9c-aad5-6da8446a5c3d","","paper","","borderless","","",NA,"Minsc, Beloved Ranger","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Minsc, Beloved Ranger // Minsc, Beloved Ranger","33","horizontal","","","b3a66a56-01d6-539d-a672-360947f802a1","","","","","","AAFR","b","Howard Lyon","","","","","Card","Card","783292ea-ad51-5683-af6f-d6549538ccbf",""
"","","","paper","","borderless","","",NA,"Den of the Bugbear","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Den of the Bugbear // Den of the Bugbear","34","horizontal","","","e5531ddd-07b1-5568-9b52-36bef1c7ef35","","","","","","AAFR","a","","","","","","Card","Card","8e233ec8-1f86-58e4-82ee-6e6fb90704af",""
"","","","paper","","borderless","","",NA,"Den of the Bugbear","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Den of the Bugbear // Den of the Bugbear","34","horizontal","","","8e233ec8-1f86-58e4-82ee-6e6fb90704af","","","","","","AAFR","b","","","","","","Card","Card","e5531ddd-07b1-5568-9b52-36bef1c7ef35",""
"Izzy","2c3d2473-ff5d-4309-8194-e0b2def2ab65","","paper","","borderless","","",NA,"Power Word Kill","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Power Word Kill // Power Word Kill","35","horizontal","","","e046e11d-7131-5bea-a4d4-3698ad37ad6e","","","","","","AAFR","a","Izzy","","","","","Card","Card","7f15dc28-e5b5-5d04-b649-b27161ea9002",""
"Izzy","2c3d2473-ff5d-4309-8194-e0b2def2ab65","","paper","","borderless","","",NA,"Power Word Kill","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Power Word Kill // Power Word Kill","35","horizontal","","","7f15dc28-e5b5-5d04-b649-b27161ea9002","","","","","","AAFR","b","Izzy","","","","","Card","Card","e046e11d-7131-5bea-a4d4-3698ad37ad6e",""
"Sebastian Giacobino","73a56d22-1628-49f3-8d4f-6cc3068bec02","","paper","","borderless","","",NA,"Veteran Dungeoneer","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Veteran Dungeoneer // Veteran Dungeoneer","36","horizontal","","","ea1ef9bb-ab54-51d4-b476-66d7e022758b","","","","","","AAFR","a","Sebastian Giacobino","","","","","Card","Card","011dd666-e0a9-5be1-ab1b-c377b41e1943",""
"Sebastian Giacobino","73a56d22-1628-49f3-8d4f-6cc3068bec02","","paper","","borderless","","",NA,"Veteran Dungeoneer","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Veteran Dungeoneer // Veteran Dungeoneer","36","horizontal","","","011dd666-e0a9-5be1-ab1b-c377b41e1943","","","","","","AAFR","b","Sebastian Giacobino","","","","","Card","Card","ea1ef9bb-ab54-51d4-b476-66d7e022758b",""
"Alix Branwyn","4f0a0e38-d74c-4e0b-ad91-fecccb1afa5d","","paper","","borderless","","",NA,"Contact Other Plane","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Contact Other Plane // Contact Other Plane","37","horizontal","","","f48e08dd-dd05-538d-8f3e-afe630bc6b8d","","","","","","AAFR","a","Alix Branwyn","","","","","Card","Card","98a017ca-eedd-5b5a-a981-9794cc834426",""
"Alix Branwyn","4f0a0e38-d74c-4e0b-ad91-fecccb1afa5d","","paper","","borderless","","",NA,"Contact Other Plane","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Contact Other Plane // Contact Other Plane","37","horizontal","","","98a017ca-eedd-5b5a-a981-9794cc834426","","","","","","AAFR","b","Alix Branwyn","","","","","Card","Card","f48e08dd-dd05-538d-8f3e-afe630bc6b8d",""
"Francisco Miyara","fa64fc53-a243-4a94-a4d2-97625ea24b4f","","paper","","borderless","","",NA,"Critical Hit","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Critical Hit // Critical Hit","38","horizontal","","","9c97f620-c018-5d1c-ac87-7231d0c9a6f4","","","","","","AAFR","a","Francisco Miyara","","","","","Card","Card","bb35dbf5-e942-5195-8d11-5b148aff6836",""
"Francisco Miyara","fa64fc53-a243-4a94-a4d2-97625ea24b4f","","paper","","borderless","","",NA,"Critical Hit","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Critical Hit // Critical Hit","38","horizontal","","","bb35dbf5-e942-5195-8d11-5b148aff6836","","","","","","AAFR","b","Francisco Miyara","","","","","Card","Card","9c97f620-c018-5d1c-ac87-7231d0c9a6f4",""
"Dan Scott","f852fa13-137e-40f2-bbc1-0f01df09c0e0","","paper","","borderless","","",NA,"Sudden Insight","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Sudden Insight // Sudden Insight","39","horizontal","","","a2a688ee-0ee3-58aa-8d4c-190bcadee52d","","","","","","AAFR","a","Dan Scott","","","","","Card","Card","e3de676e-9358-5f4b-8b6e-784e29de9528",""
"Dan Scott","f852fa13-137e-40f2-bbc1-0f01df09c0e0","","paper","","borderless","","",NA,"Sudden Insight","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Sudden Insight // Sudden Insight","39","horizontal","","","e3de676e-9358-5f4b-8b6e-784e29de9528","","","","","","AAFR","b","Dan Scott","","","","","Card","Card","a2a688ee-0ee3-58aa-8d4c-190bcadee52d",""
"Gabor Szikszai","44c3877f-8771-43dc-9e40-f4c765f59d2e","","paper","","borderless","","",NA,"You Find the Villains' Lair","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","You Find the Villains' Lair // You Find the Villains' Lair","40","horizontal","","","8fc7ca48-b28f-5bf1-9436-a0260369d365","","","","","","AAFR","a","Gabor Szikszai","","","","","Card","Card","79f6b5ca-2a04-51f6-85f3-843b0abdd31a",""
"Gabor Szikszai","44c3877f-8771-43dc-9e40-f4c765f59d2e","","paper","","borderless","","",NA,"You Find the Villains' Lair","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","You Find the Villains' Lair // You Find the Villains' Lair","40","horizontal","","","79f6b5ca-2a04-51f6-85f3-843b0abdd31a","","","","","","AAFR","b","Gabor Szikszai","","","","","Card","Card","8fc7ca48-b28f-5bf1-9436-a0260369d365",""
"Anna Pavleeva","32223955-c0eb-49b2-a323-4eec2e067acf","","paper","","borderless","","",NA,"Hoard Robber","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Hoard Robber // Hoard Robber","41","horizontal","","","95716d41-24ef-5275-bb76-42ff3aed67ce","","","","","","AAFR","a","Anna Pavleeva","","","","","Card","Card","639058b7-6386-57ad-bb87-54aa9aa0e2f1",""
"Anna Pavleeva","32223955-c0eb-49b2-a323-4eec2e067acf","","paper","","borderless","","",NA,"Hoard Robber","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Hoard Robber // Hoard Robber","41","horizontal","","","639058b7-6386-57ad-bb87-54aa9aa0e2f1","","","","","","AAFR","b","Anna Pavleeva","","","","","Card","Card","95716d41-24ef-5275-bb76-42ff3aed67ce",""
"Billy Christian","10f26f94-64fc-4174-856e-701bea4f1521","","paper","","borderless","","",NA,"You Come to the Gnoll Camp","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","You Come to the Gnoll Camp // You Come to the Gnoll Camp","42","horizontal","","","286017fe-6583-5a04-aa8e-ae4e42ba8ab4","","","","","","AAFR","a","Billy Christian","","","","","Card","Card","16d86540-bc3a-5fa3-a3f3-eb7587ead0e6",""
"Billy Christian","10f26f94-64fc-4174-856e-701bea4f1521","","paper","","borderless","","",NA,"You Come to the Gnoll Camp","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","You Come to the Gnoll Camp // You Come to the Gnoll Camp","42","horizontal","","","16d86540-bc3a-5fa3-a3f3-eb7587ead0e6","","","","","","AAFR","b","Billy Christian","","","","","Card","Card","286017fe-6583-5a04-aa8e-ae4e42ba8ab4",""
"Steve Prescott","a1139fb8-41f5-4a9e-9a74-f662e1a23b35","","paper","","borderless","","",NA,"True Polymorph","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","True Polymorph // True Polymorph","43","horizontal","","","fd2318dd-8082-539e-9c31-3dd9947cd60f","","","","","","AAFR","a","Steve Prescott","","","","","Card","Card","d8b81393-156c-5628-8b89-1db641370f14",""
"Steve Prescott","a1139fb8-41f5-4a9e-9a74-f662e1a23b35","","paper","","borderless","","",NA,"True Polymorph","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","True Polymorph // True Polymorph","43","horizontal","","","d8b81393-156c-5628-8b89-1db641370f14","","","","","","AAFR","b","Steve Prescott","","","","","Card","Card","fd2318dd-8082-539e-9c31-3dd9947cd60f",""
"Evyn Fong","6777be9f-5724-4fdb-b6a0-a83f63efa4ca","","paper","","borderless","","",NA,"Bag of Holding","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bag of Holding // Bag of Holding","44","horizontal","","","cb52be73-d55c-5af9-b874-44887481d2ae","","","","","","AAFR","a","Evyn Fong","","","","","Card","Card","9cd82dd9-0086-5209-b156-0521c4fa5742",""
"Evyn Fong","6777be9f-5724-4fdb-b6a0-a83f63efa4ca","","paper","","borderless","","",NA,"Bag of Holding","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bag of Holding // Bag of Holding","44","horizontal","","","9cd82dd9-0086-5209-b156-0521c4fa5742","","","","","","AAFR","b","Evyn Fong","","","","","Card","Card","cb52be73-d55c-5af9-b874-44887481d2ae",""
"Johannes Voss","3593dd7e-c547-4a32-81cd-7da725f60118","","paper","","borderless","","",NA,"Bar the Gate","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bar the Gate // Bar the Gate","45","horizontal","","","1be5a23e-2507-51fc-aced-a7966a2d3939","","","","","","AAFR","a","Johannes Voss","","","","","Card","Card","0587bbd0-aca1-5405-940f-21ce2abb358e",""
"Johannes Voss","3593dd7e-c547-4a32-81cd-7da725f60118","","paper","","borderless","","",NA,"Bar the Gate","nonfoil, foil, signed","","",2015,1,1,NA,NA,NA,NA,NA,"","English","art_series","Bar the Gate // Bar the Gate","45","horizontal","","","0587bbd0-aca1-5405-940f-21ce2abb358e","","","","","","AAFR","b","Johannes Voss","","","","","Card","Card","1be5a23e-2507-51fc-aced-a7966a2d3939",""
